strategy,date,interval,emergency_kwh
A42,2025-03-20,20:20-20:40,54.906337161717374
A42,2025-06-21,无,0.0
A42,2025-09-23,无,0.0
A42,2025-12-21,无,0.0
A43_111,2025-03-20,14:40-15:00,12.31912502252679
A43_111,2025-03-20,15:30-16:10,57.586282878883765
A43_111,2025-03-20,21:40-21:50,19.453951913918605
A43_111,2025-06-21,无,0.0
A43_111,2025-09-23,20:10-20:20,10.234366666666574
A43_111,2025-09-23,20:50-21:10,69.26678306537728
A43_111,2025-09-23,21:20-21:40,20.956674457361895
A43_111,2025-09-23,21:50-22:00,7.403668291094368
A43_111,2025-12-21,07:50-08:10,19.955736188671835
A43_111,2025-12-21,10:30-10:50,239.32493307423078
A43_111,2025-12-21,20:30-20:50,31.990074020300654
A43_111,2025-12-21,21:50-22:00,5.567763162443976
