date,issue_hour,slot,old,new,increase,cancel,forecast_price,actual_price,increase_cost,refund,penalty,adjustment_net
2025-02-01,6,66,128.20220603137932,0.0,0.0,128.20220603137932,0.5915640280808644,0.3671,0.0,47.06302983411935,23.531514917059674,-23.531514917059674
2025-02-01,6,71,434.9178466597532,0.0,0.0,434.9178466597532,0.578156519095076,0.2979,0.0,129.56202651994047,64.78101325997024,-64.78101325997024
2025-02-01,6,72,491.6439468584722,0.0,0.0,491.6439468584722,0.5798818052675521,0.3528,0.0,173.45198445166898,86.72599222583449,-86.72599222583449
2025-02-01,6,74,534.0719528347981,0.0,0.0,534.0719528347981,0.5786150852138274,0.4077,0.0,217.7411351707472,108.8705675853736,-108.8705675853736
2025-02-01,6,75,553.3395592241361,0.0,0.0,553.3395592241361,0.5290390867764111,0.3359,0.0,185.8667579433873,92.93337897169366,-92.93337897169366
2025-02-01,6,89,149.77221705405208,3.3239981807928722,0.0,146.4482188732592,0.7816871665557064,0.5147,0.0,75.37689825406652,37.68844912703326,-37.68844912703326
2025-02-01,6,90,451.6883023055367,59.1539705870903,0.0,392.5343317184464,0.741846279581081,0.5575,0.0,218.8378899330339,109.41894496651695,-109.41894496651695
2025-02-01,6,91,269.19176073503445,104.47726408399508,0.0,164.71449665103938,0.7956336615781983,0.6606,0.0,108.81039648767661,54.405198243838306,-54.405198243838306
2025-02-01,6,92,323.65070576190493,149.80307022197678,0.0,173.84763553992815,0.7997350732654234,0.688,0.0,119.60717325147056,59.80358662573528,-59.80358662573528
2025-02-01,6,93,378.31263013989246,195.3318557110754,0.0,182.98077442881706,0.8467648396614321,0.6617,0.0,121.07837843954823,60.539189219774116,-60.539189219774116
2025-02-01,6,94,432.8268023621134,240.71288904440905,0.0,192.11391331770437,0.8849658511795294,0.6465,0.0,124.20164495989587,62.10082247994794,-62.10082247994794
2025-02-01,6,95,476.6158328952209,275.36878068862603,0.0,201.24705220659484,0.8946238502682564,0.6667,0.0,134.17140970613679,67.08570485306839,-67.08570485306839
2025-02-01,6,96,481.4581378590736,299.3676023191451,0.0,182.0905355399285,0.9152674321955016,0.6956,0.0,126.66217652157427,63.33108826078713,-63.33108826078713
2025-02-01,6,97,511.2342142554483,348.3001953821872,0.0,162.9340188732611,0.9402537599979549,0.7032,0.0,114.57520207167721,57.287601035838605,-57.287601035838605
2025-02-01,6,98,556.9695150055047,413.1920127989099,0.0,143.77750220659482,0.9584542793286626,0.7041,0.0,101.2337393036634,50.6168696518317,-50.6168696518317
2025-02-01,6,99,583.9739735754958,459.3529880355673,0.0,124.62098553992854,0.9705547189326154,0.7357,0.0,91.68365906172544,45.84182953086272,-45.84182953086272
2025-02-01,6,100,548.967231494282,443.50276262102085,0.0,105.46446887326118,0.990855091049328,0.7466,0.0,78.7397724607768,39.3698862303884,-39.3698862303884
2025-02-01,6,101,495.2736335999587,408.96568139336387,0.0,86.30795220659485,1.0117125488964673,0.7383,0.0,63.721161114128975,31.860580557064488,-31.860580557064488
2025-02-01,6,102,503.6946962089344,420.53457178011723,0.0,83.16012442881714,1.0141413869583145,0.7642,0.0,63.550967088502055,31.775483544251028,-31.775483544251028
2025-02-01,6,103,510.26583317706945,430.25353652602956,0.0,80.01229665103989,1.031327326944224,0.787,0.0,62.969677464368395,31.484838732184198,-31.484838732184198
