date,slot,g_kwh,charge_kwh,discharge_kwh,emergency_kwh,waste_kwh,start_kwh,end_kwh,price,net_kwh
2025-02-01,1,481.7823949377336,0.0,0.0,0.0,59.75202827106693,10800.0,10800.0,0.4248,422.0303666666667
2025-02-01,2,477.7338584645867,0.0,0.0,0.0,62.326541797920015,10800.0,10800.0,0.4245,415.4073166666667
2025-02-01,3,480.6818613757769,0.0,0.0,0.0,69.96519470911022,10800.0,10800.0,0.4269,410.7166666666667
2025-02-01,4,490.7589728725752,0.0,0.0,0.0,60.46417287257526,10800.0,10800.0,0.4272,430.29479999999995
2025-02-01,5,497.42566068053196,0.0,0.0,0.0,73.01507734719866,10800.0,10800.0,0.4271,424.4105833333333
2025-02-01,6,491.50957034213826,0.0,0.0,0.0,85.45790367547164,10800.0,10800.0,0.4285,406.0516666666667
2025-02-01,7,492.58792847023125,0.0,0.0,0.0,55.83774513689792,10800.0,10800.0,0.4311,436.7501833333333
2025-02-01,8,493.22854639364135,0.0,0.0,0.0,41.43086306030807,10800.0,10800.0,0.4302,451.7976833333333
2025-02-01,9,494.9414861127814,0.0,0.0,0.0,48.86148611278139,10800.0,10800.0,0.4279,446.08
2025-02-01,10,498.8885697564774,0.0,0.0,0.0,27.122236423144102,10800.0,10800.0,0.4312,471.7663333333333
2025-02-01,11,516.1064348621928,0.0,0.0,0.0,68.08046819552618,10800.0,10800.0,0.4333,448.02596666666665
2025-02-01,12,515.5271866981723,0.0,0.0,0.0,118.12385336483896,10800.0,10800.0,0.4311,397.40333333333336
2025-02-01,13,528.5849282419746,0.0,0.0,0.0,94.49429490864128,10800.0,10800.0,0.4293,434.0906333333333
2025-02-01,14,554.7863835311231,0.0,0.0,0.0,64.22546686445645,10800.0,10800.0,0.4324,490.5609166666666
2025-02-01,15,524.1133360534734,0.0,0.0,0.0,20.893336053473377,10800.0,10800.0,0.4367,503.22
2025-02-01,16,522.0818393914998,0.0,0.0,0.0,48.00902272483313,10800.0,10800.0,0.4348,474.0728166666667
2025-02-01,17,538.119177689776,0.0,0.0,0.0,76.73477768977608,10800.0,10800.0,0.4335,461.38439999999997
2025-02-01,18,546.2140975115431,0.0,0.0,0.0,69.2724308448764,10800.0,10800.0,0.4357,476.94166666666666
2025-02-01,19,539.729448239079,0.0,0.0,0.0,56.32989823907906,10800.0,10800.0,0.4374,483.39955000000003
2025-02-01,20,544.9034631960938,0.0,0.0,0.0,58.30154652942713,10800.0,10800.0,0.4371,486.6019166666667
2025-02-01,21,545.691096651765,0.0,0.0,0.0,46.842763318431594,10800.0,10800.0,0.4356,498.84833333333336
2025-02-01,22,536.4133048549256,0.0,0.0,0.0,18.103571521592357,10800.0,10800.0,0.4353,518.3097333333334
2025-02-01,23,548.5757641751525,0.0,0.0,0.0,39.44229750848581,10800.0,10800.0,0.436,509.13346666666666
2025-02-01,24,553.2196894114594,0.0,0.0,0.0,69.60302274479278,10800.0,10800.0,0.4378,483.6166666666666
2025-02-01,25,547.3703898570121,0.0,0.0,0.0,56.18358985701212,10800.0,10800.0,0.4401,491.1868
2025-02-01,26,528.0883464625106,0.0,0.0,0.0,23.443063129177233,10800.0,10800.0,0.4389,504.64528333333334
2025-02-01,27,544.4839825859607,0.0,0.0,0.0,38.90564925262743,10800.0,10800.0,0.4364,505.5783333333333
2025-02-01,28,549.8646372640964,0.0,0.0,0.0,46.63367059742973,10800.0,10800.0,0.4393,503.2309666666667
2025-02-01,29,528.0301865453229,0.0,0.0,0.0,25.183436545322877,10800.0,10800.0,0.4422,502.84675
2025-02-01,30,558.319105043249,0.0,0.0,0.0,58.67743837658236,10800.0,10800.0,0.4395,499.64166666666665
2025-02-01,31,559.8315360520006,0.0,0.0,0.0,71.04795271866726,10800.0,10800.0,0.4333,488.78358333333335
2025-02-01,32,529.5735816733581,0.0,0.0,0.0,31.058148340024786,10800.0,10800.0,0.4439,498.5154333333334
2025-02-01,33,566.5863025545759,0.0,0.0,0.0,37.362969221242565,10800.0,10800.0,0.4301,529.2233333333334
2025-02-01,34,580.4729353122315,0.0,0.0,0.0,33.06261864556484,10800.0,10800.0,0.3713,547.4103166666666
2025-02-01,35,533.0882967703552,0.0,0.0,0.0,1.907130103688587,10800.0,10800.0,0.5708,531.1811666666666
2025-02-01,36,0.0,0.0,510.98333333333335,0.0,0.0,10800.0,10232.24074074074,0.9099,510.98333333333335
