日期,时间段,计划购电_kWh,充电_kWh,放电_kWh,紧急购电_kWh,富余电量_kWh,期初储电_kWh,期末储电_kWh,电价_元每kWh,交易费_元
2025-02-01,00:00-00:10,406.53347115136967,0.0,833.3333333333334,0.0,817.8364378180363,10691.657650070036,9765.73172414411,0.4248,172.69541854510183
2025-02-01,00:10-00:20,437.19755944057056,0.0,0.0,0.0,21.790242773903856,9765.73172414411,9765.73172414411,0.4245,185.5903639825222
2025-02-01,00:20-00:30,419.0742868502602,0.0,535.7707860765522,0.0,544.1284062601458,9765.73172414411,9170.43085072572,0.4269,178.9028130563761
2025-02-01,00:30-00:40,416.8560672989839,0.0,13.438732701016079,0.0,0.0,9170.43085072572,9155.498925502368,0.4272,178.0809119501259
2025-02-01,00:40-00:50,409.0915158703581,0.0,15.319067462975227,0.0,0.0,9155.498925502368,9138.477739432396,0.4271,174.72298642822992
2025-02-01,00:50-01:00,399.4331590373912,0.0,6.6185076292754275,0.0,0.0,9138.477739432396,9131.123842066534,0.4285,171.15710864752214
2025-02-01,01:00-01:10,418.2717679249531,0.0,18.478415408380215,0.0,0.0,9131.123842066534,9110.592269390556,0.4311,180.31695915244728
2025-02-01,01:10-01:20,437.5680102904347,0.0,14.229673042898582,0.0,0.0,9110.592269390556,9094.781521565114,0.4302,188.241758026945
2025-02-01,01:20-01:30,453.7071418949675,7.627141894967508,0.0,0.0,0.0,9094.781521565114,9101.645949270584,0.4279,194.14128601685658
2025-02-01,01:30-01:40,480.986171566302,9.219838232968698,0.0,0.0,0.0,9101.645949270584,9109.943803680255,0.4312,207.40123717938943
2025-02-01,01:40-01:50,462.60621467181227,14.58024800514562,0.0,0.0,0.0,9109.943803680255,9123.066026884886,0.4333,200.44727281729627
2025-02-01,01:50-02:00,408.2119128039493,10.808579470615996,0.0,0.0,0.0,9123.066026884886,9132.79374840844,0.4311,175.98015560978254
2025-02-01,02:00-02:10,424.09023687613586,0.0,10.00039645719744,0.0,0.0,9132.79374840844,9121.682196789332,0.4293,182.06193869092513
2025-02-01,02:10-02:20,435.96169339239225,0.0,54.59922327427438,0.0,0.0,9121.682196789332,9061.016393151249,0.4324,188.5098362228704
2025-02-01,02:20-02:30,464.4671913265586,0.0,38.75280867344145,0.0,0.0,9061.016393151249,9017.957716847424,0.4367,202.8328224523081
2025-02-01,02:30-02:40,487.5843599626321,13.511543295965453,0.0,0.0,0.0,9017.957716847424,9030.118105813794,0.4348,212.00167971175244
2025-02-01,02:40-02:50,486.5474094223942,25.163009422394225,0.0,0.0,0.0,9030.118105813794,9052.764814293949,0.4335,210.9183019846079
2025-02-01,02:50-03:00,521.9269933622559,44.98532669558921,0.0,0.0,0.0,9052.764814293949,9093.251608319979,0.4357,227.40359100793486
2025-02-01,03:00-03:10,533.94114362351,50.54159362351004,0.0,0.0,0.0,9093.251608319979,9138.739042581137,0.4374,233.5458562209233
2025-02-01,03:10-03:20,520.2468274830367,33.64491081637004,0.0,0.0,0.0,9138.739042581137,9169.01946231587,0.4371,227.39988829283533
2025-02-01,03:20-03:30,504.47404180406306,5.625708470729705,0.0,0.0,0.0,9169.01946231587,9174.082599939526,0.4356,219.74889260984986
2025-02-01,03:30-03:40,482.95677217570824,0.0,35.35296115762503,0.0,0.0,9174.082599939526,9134.801531986608,0.4353,210.2310829280858
2025-02-01,03:40-03:50,482.01299983973837,0.0,27.120466826928293,0.0,0.0,9134.801531986608,9104.667679956689,0.436,210.15766793012594
2025-02-01,03:50-04:00,505.1311282047603,21.514461538093656,0.0,0.0,0.0,9104.667679956689,9124.030695340973,0.4378,221.14640792804406
2025-02-01,04:00-04:10,547.66623560319,56.479435603189984,0.0,0.0,0.0,9124.030695340973,9174.862187383844,0.4401,241.0279102889639
2025-02-01,04:10-04:20,562.4281258289326,57.782842495599255,0.0,0.0,0.0,9174.862187383844,9226.866745629883,0.4389,246.8497044263185
