日期,时间段,计划购电_kWh,充电_kWh,放电_kWh,紧急购电_kWh,富余电量_kWh,期初储电_kWh,期末储电_kWh,电价_元每kWh,交易费_元
2025-02-01,00:00-00:10,435.09681160517454,0.0,833.3333333333334,0.0,846.3997782718412,10691.657650070038,9765.731724144112,0.4248,184.82912556987816
2025-02-01,00:10-00:20,437.19755944057056,0.0,833.3333333333334,0.0,855.1235761072372,9765.731724144112,8839.805798218187,0.4245,185.5903639825222
2025-02-01,00:20-00:30,412.1813101250894,0.0,833.3333333333334,0.0,834.7979767917561,8839.805798218187,7913.879872292261,0.4269,175.96020129240065
2025-02-01,00:30-00:40,416.8560672989839,0.0,833.3333333333334,0.0,819.8946006323173,7913.879872292261,6987.953946366335,0.4272,178.0809119501259
2025-02-01,00:40-00:50,409.0915158703581,0.0,560.5518111372559,0.0,545.2327436742806,6987.953946366335,6365.118600658273,0.4271,174.72298642822992
2025-02-01,00:50-01:00,379.37966639243496,0.0,833.3333333333334,0.0,806.6613330591017,6365.118600658273,5439.192674732347,0.4285,162.56418704915836
2025-02-01,01:00-01:10,375.31492393129963,0.0,833.3333333333334,0.0,771.8980739312997,5439.192674732347,4513.266748806421,0.4311,161.79826370678327
2025-02-01,01:10-01:20,395.36467331472323,0.0,833.3333333333334,0.0,776.9003233147233,4513.266748806421,3587.3408228804947,0.4302,170.08588245999394
2025-02-01,01:20-01:30,453.7071418949675,0.0,0.0,0.0,7.627141894967508,3587.3408228804947,3587.3408228804947,0.4279,194.14128601685658
2025-02-01,01:30-01:40,484.90482516504636,0.0,26.0374814839221,0.0,39.175973315635154,3587.3408228804947,3558.410287898359,0.4312,209.09096061116801
2025-02-01,01:40-01:50,440.0248011453976,0.0,46.28597939200217,0.0,38.28481387073311,3558.410287898359,3506.9814219072455,0.4333,190.66274633630078
2025-02-01,01:50-02:00,374.7783211800469,0.0,22.625012153286434,0.0,0.0,3506.9814219072455,3481.842519514705,0.4311,161.5669342607182
2025-02-01,02:00-02:10,401.9752030918529,0.0,751.755328113364,0.0,719.6398978718837,3481.842519514705,2646.5588216109672,0.4293,172.56795468733245
2025-02-01,02:10-02:20,435.96169339239225,0.0,833.3333333333334,0.0,778.734110059059,2646.5588216109672,1720.6328956850411,0.4324,188.5098362228704
2025-02-01,02:20-02:30,456.383638529295,0.0,46.836361470705015,0.0,0.0,1720.6328956850411,1668.5924940509244,0.4367,199.3027349457431
2025-02-01,02:30-02:40,522.4003518435516,26.48712262016867,0.0,0.0,21.840412556716238,1668.5924940509244,1692.4309044090762,0.4348,227.13967298157624
2025-02-01,02:40-02:50,527.5454079756579,39.60536641406255,0.0,0.0,26.555641561595372,1692.4309044090762,1728.0757341817325,0.4335,228.6909343574477
2025-02-01,02:50-03:00,521.9269933622559,17.606504264693335,0.0,0.0,27.378822430895873,1728.0757341817325,1743.9215880199565,0.4357,227.40359100793486
2025-02-01,03:00-03:10,533.94114362351,0.0,43.98936837642936,0.0,94.5309619999394,1743.9215880199565,1695.044512046146,0.4374,233.5458562209233
2025-02-01,03:10-03:20,520.2468274830367,0.0,52.47968126649712,0.0,86.12459208286717,1695.044512046146,1636.7337550833715,0.4371,227.39988829283533
