day_index,issue_index,candidate_quantile,revision_net_cost,expected_emergency_cost,planning_score,chosen
31,1,keep,0.0,0.5923845314405967,0.5923845314405967,False
31,1,0.5,-2085.526399528622,1252.8966872196243,-832.6297123089976,False
31,1,0.65,-1808.2584287221237,172.83738180420755,-1635.421046917916,True
31,1,0.8,-1521.4231440661465,4.196895325215997,-1517.2262487409305,False
31,1,0.9,-878.8987540186297,0.006936297071963882,-878.8918177215577,False
31,2,keep,0.0,275.08560748680986,275.08560748680986,True
31,2,0.5,-117.15706402516167,665.467466198705,548.3104021735433,False
31,2,0.65,344.23211529446075,107.69262756235808,451.92474285681885,False
31,2,0.8,1227.5327046992043,2.2890732071374646,1229.8217779063418,False
31,2,0.9,2015.0264633622116,0.009167628131129079,2015.0356309903427,False
31,3,keep,0.0,17.684149000719792,17.684149000719792,False
31,3,0.5,-174.8927765632504,314.1543498736976,139.26157331044718,False
31,3,0.65,-33.57579912068894,32.752812160942,-0.8229869597469417,True
31,3,0.8,348.9263641490431,1.711451401925546,350.63781555096864,False
31,3,0.9,848.7463913020138,0.009201828522547029,848.7555931305363,False
32,1,keep,0.0,54.63717258707611,54.63717258707611,False
32,1,0.5,-2633.3241428536735,3005.211381550099,371.88723869642536,False
32,1,0.65,-2022.427358512177,556.3165168876641,-1466.110841624513,True
32,1,0.8,-1379.472396827711,69.37716574955965,-1310.0952310781513,False
32,1,0.9,-306.3495889746482,25.80942788278173,-280.5401610918665,False
32,2,keep,0.0,196.02113060731838,196.02113060731838,False
32,2,0.5,-596.3759754415394,1086.4079086106815,490.0319331691421,False
32,2,0.65,-143.7427119260866,149.24443202864177,5.5017201025551685,True
32,2,0.8,921.1916620675855,7.179941031070131,928.3716030986557,False
32,2,0.9,1920.0215239388885,0.17301862444313934,1920.1945425633317,False
32,3,keep,0.0,70.87082557177878,70.87082557177878,True
32,3,0.5,-149.94032602078283,411.5697948207262,261.62946879994337,False
32,3,0.65,18.539458251096914,62.50348532190524,81.04294357300215,False
32,3,0.8,536.5489654454263,5.553435663709431,542.1024011091358,False
32,3,0.9,1062.9389495065213,0.12538953569069078,1063.064339042212,False
33,1,keep,0.0,14.490272198610887,14.490272198610887,False
33,1,0.5,-3271.370868086785,2875.603193549576,-395.7676745372087,False
33,1,0.65,-2645.1540255836394,586.4778589177995,-2058.67616666584,True
33,1,0.8,-2006.233402933111,43.31180958767926,-1962.9215933454316,False
33,1,0.9,-1003.7044396634378,10.609507057679028,-993.0949326057588,False
