日期,时段开始,时段结束,电价_元每kWh,实际净负荷_kW,计划购电_kWh,充电_kWh,放电_kWh,紧急购电_kWh,富余电量_kWh,期初储电量_kWh,期末储电量_kWh,计划费用_元,紧急费用_元
2025-02-01,00:00,00:10,0.4248,2532.1822,459.5119304776784,0.0,0.0,0.0,37.48156381101171,10800.0,10800.0,195.20066806691779,0.0
2025-02-01,00:10,00:20,0.4245,2492.4439,459.70226858063404,0.0,0.0,0.0,44.29495191396734,10800.0,10800.0,195.14361301247914,0.0
2025-02-01,00:20,00:30,0.4269,2464.3,462.23494718026325,0.0,0.0,0.0,51.51828051359655,10800.0,10800.0,197.3280989512544,0.0
2025-02-01,00:30,00:40,0.4272,2581.7688,465.0365766912822,0.0,0.0,0.0,34.74177669128227,10800.0,10800.0,198.6636255625158,0.0
2025-02-01,00:40,00:50,0.4271,2546.4635,473.601039603844,0.0,0.0,0.0,49.19045627051071,10800.0,10800.0,202.27500401480177,0.0
2025-02-01,00:50,01:00,0.4285,2436.31,469.89156502450135,0.0,0.0,0.0,63.83989835783473,10800.0,10800.0,201.34853561299883,0.0
2025-02-01,01:00,01:10,0.4311,2620.5011,468.87647982985834,0.0,0.0,0.0,32.126296496525015,10800.0,10800.0,202.13265045465192,0.0
2025-02-01,01:10,01:20,0.4302,2710.7861,465.73924145252556,0.0,0.0,0.0,13.94155811919228,10800.0,10800.0,200.36102167287652,0.0
2025-02-01,01:20,01:30,0.4279,2676.48,475.7947221974547,0.0,0.0,0.0,29.714722197454705,10800.0,10800.0,203.59256162829087,0.0
2025-02-01,01:30,01:40,0.4312,2830.598,486.0009104641457,0.0,0.0,0.0,14.234577130812397,10800.0,10800.0,209.56359259213963,0.0
2025-02-01,01:40,01:50,0.4333,2688.1558,492.8888212941584,0.0,0.0,0.0,44.86285462749174,10800.0,10800.0,213.56872626675883,0.0
2025-02-01,01:50,02:00,0.4311,2384.42,497.8310948560926,0.0,0.0,0.0,100.42776152275928,10800.0,10800.0,214.6149849924615,0.0
2025-02-01,02:00,02:10,0.4293,2604.5438,501.86329498284374,0.0,0.0,0.0,67.77266164951044,10800.0,10800.0,215.44991253613483,0.0
2025-02-01,02:10,02:20,0.4324,2943.3655,520.124545538391,0.0,0.0,0.0,29.563628871724347,10800.0,10800.0,224.90185349080025,0.0
2025-02-01,02:20,02:30,0.4367,3019.32,523.0489460364928,0.0,0.0,0.0,19.828946036492766,10800.0,10800.0,228.41547473413638,0.0
2025-02-01,02:30,02:40,0.4348,2844.4369,519.3349023842984,0.0,0.0,0.0,45.26208571763175,10800.0,10800.0,225.80681555669295,0.0
2025-02-01,02:40,02:50,0.4335,2768.3064,532.1880517026019,0.0,0.0,0.0,70.80365170260194,10800.0,10800.0,230.70352041307794,0.0
2025-02-01,02:50,03:00,0.4357,2861.65,543.598315463771,0.0,0.0,0.0,66.65664879710431,10800.0,10800.0,236.845786047565,0.0
