strategy,day,issue,candidate,score,status,residual,objective
A42,31,0,initial,,0,1.8189894035458565e-12,23014.17154289714
B42,31,0,initial,,0,1.8189894035458565e-12,23014.17154289714
B43,31,0,initial,,0,2.3305801732931286e-12,22458.2522825412
B43,31,1,keep,0.6339423047077062,0,0,0
B43,31,1,0.5,-936.2495559618003,0,9.094947017729282e-13,-2247.0243504080063
B43,31,1,0.65,-1781.261843881682,0,9.094947017729282e-13,-1962.6709110576733
B43,31,1,0.8,-1662.701281111224,0,9.094947017729282e-13,-1667.2721221631457
B43,31,1,0.9,-1040.4598575098712,0,9.094947017729282e-13,-1040.4688945599125
B43,31,2,keep,292.8915671844886,0,0,0
B43,31,2,0.5,579.5795497978143,0,9.094947017729282e-13,-115.44652125921608
B43,31,2,0.65,492.135448014555,0,9.094947017729282e-13,378.12083238548456
B43,31,2,0.8,1289.4625011050796,0,4.547473508864641e-13,1287.0498369090876
B43,31,2,0.9,2083.648715573247,0,9.094947017729282e-13,2083.637409710397
B43,31,3,keep,17.634431404076647,0,0,0
B43,31,3,0.5,131.7810112923027,0,0.0,-169.57249561487808
B43,31,3,0.65,-0.8912370149849664,0,0.0,-32.9162356733951
B43,31,3,0.8,319.4294993197533,0,4.547473508864641e-13,317.71102072070204
B43,31,3,0.9,768.640786136355,0,9.094947017729282e-13,768.6306937671854
A43_000,31,0,initial,,0,2.3305801732931286e-12,22458.2522825412
A43_001,31,0,initial,,0,2.3305801732931286e-12,22458.2522825412
A43_001,31,1,keep,1.0751549332686343,0,0,0
A43_001,31,1,0.5,-881.0081367824339,0,9.094947017729282e-13,-2247.0243504080063
A43_001,31,1,0.65,-1785.7985560344778,0,9.094947017729282e-13,-1962.6709110576733
A43_001,31,1,0.8,-1689.1307515422047,0,9.094947017729282e-13,-1667.2721221631457
A43_001,31,1,0.9,-1061.4251964544962,0,9.094947017729282e-13,-1040.4688945599125
A43_010,31,0,initial,,0,2.3305801732931286e-12,22458.2522825412
A43_010,31,2,keep,0.5834566711423848,0,0,0
A43_010,31,2,0.5,-817.3873367963001,0,9.094947017729282e-13,-1779.6465517082515
A43_010,31,2,0.65,-1427.2677938254787,0,9.094947017729282e-13,-1525.5627249895026
A43_010,31,2,0.8,-1233.1899943501278,0,4.547473508864641e-13,-1222.5684407815347
A43_010,31,2,0.9,-688.6983342109794,0,9.094947017729282e-13,-680.541556028228
A43_011,31,0,initial,,0,2.3305801732931286e-12,22458.2522825412
A43_011,31,1,keep,1.0751549332686343,0,0,0
A43_011,31,1,0.5,-881.0081367824339,0,9.094947017729282e-13,-2247.0243504080063
A43_011,31,1,0.65,-1785.7985560344778,0,9.094947017729282e-13,-1962.6709110576733
A43_011,31,1,0.8,-1689.1307515422047,0,9.094947017729282e-13,-1667.2721221631457
A43_011,31,1,0.9,-1061.4251964544962,0,9.094947017729282e-13,-1040.4688945599125
A43_011,31,2,keep,318.3787375412336,0,0,0
A43_011,31,2,0.5,615.1768500079972,0,9.094947017729282e-13,-115.44652125921608
A43_011,31,2,0.65,496.81859119144815,0,9.094947017729282e-13,378.12083238548456
A43_011,31,2,0.8,1305.0532580004092,0,4.547473508864641e-13,1287.0498369090876
A43_011,31,2,0.9,2107.222815791119,0,9.094947017729282e-13,2083.637409710397
A43_100,31,0,initial,,0,2.3305801732931286e-12,22458.2522825412
A43_100,31,3,keep,0.1641575111876632,0,0,0
A43_100,31,3,0.5,-21.553429475805046,0,0.0,-327.8293351164983
A43_100,31,3,0.65,-162.51294399482077,0,0.0,-191.17307517501473
A43_100,31,3,0.8,-57.16588294443637,0,0.0,-57.7439203156364
A43_100,31,3,0.9,269.43245363207404,0,9.094947017729282e-13,268.2661733203354
A43_101,31,0,initial,,0,2.3305801732931286e-12,22458.2522825412
A43_101,31,1,keep,1.0751549332686343,0,0,0
A43_101,31,1,0.5,-881.0081367824339,0,9.094947017729282e-13,-2247.0243504080063
A43_101,31,1,0.65,-1785.7985560344778,0,9.094947017729282e-13,-1962.6709110576733
A43_101,31,1,0.8,-1689.1307515422047,0,9.094947017729282e-13,-1667.2721221631457
A43_101,31,1,0.9,-1061.4251964544962,0,9.094947017729282e-13,-1040.4688945599125
A43_101,31,3,keep,19.300532484960666,0,0,0
A43_101,31,3,0.5,140.32147599979302,0,0.0,-169.57249561487808
A43_101,31,3,0.65,0.991663253070044,0,0.0,-32.9162356733951
A43_101,31,3,0.8,320.54540274877075,0,4.547473508864641e-13,317.71102072070204
A43_101,31,3,0.9,769.9240595535524,0,9.094947017729282e-13,768.6306937671854
A43_110,31,0,initial,,0,2.3305801732931286e-12,22458.2522825412
A43_110,31,2,keep,0.5834566711423848,0,0,0
A43_110,31,2,0.5,-817.3873367963001,0,9.094947017729282e-13,-1779.6465517082515
A43_110,31,2,0.65,-1427.2677938254787,0,9.094947017729282e-13,-1525.5627249895026
A43_110,31,2,0.8,-1233.1899943501278,0,4.547473508864641e-13,-1222.5684407815347
A43_110,31,2,0.9,-688.6983342109794,0,9.094947017729282e-13,-680.541556028228
A43_110,31,3,keep,19.59361740962941,0,0,0
A43_110,31,3,0.5,140.9253021921748,0,0.0,-169.21101579408617
